S.No,item,itemLabel
1,http://www.wikidata.org/entity/Q106462737,Sushant Ghadge
2,http://www.wikidata.org/entity/Q107529386,Venugopal Kosuri
3,http://www.wikidata.org/entity/Q3631843,Pankaj Pachauri
4,http://www.wikidata.org/entity/Q4733330,Allu Rama Lingaiah
5,http://www.wikidata.org/entity/Q4897674,Betha Sudhakar
6,http://www.wikidata.org/entity/Q312783,Vivek
7,http://www.wikidata.org/entity/Q5074608,Charle
8,http://www.wikidata.org/entity/Q5618679,Gundu Hanumantha Rao
9,http://www.wikidata.org/entity/Q5620246,Gurpreet Ghuggi
10,http://www.wikidata.org/entity/Q7640335,Sunil Pal
11,http://www.wikidata.org/entity/Q7668533,T. N. Gopakumar
12,http://www.wikidata.org/entity/Q7929392,Vikas Kalantri
13,http://www.wikidata.org/entity/Q99454945,Florent Pereira
14,http://www.wikidata.org/entity/Q63305963,Manan Desai
15,http://www.wikidata.org/entity/Q106035109,Sumit Samaddar
16,http://www.wikidata.org/entity/Q1828366,Komal
17,http://www.wikidata.org/entity/Q97516521,Harsh Beniwal
18,http://www.wikidata.org/entity/Q6366618,Kapil Sharma
19,http://www.wikidata.org/entity/Q77599314,CarryMinati
20,http://www.wikidata.org/entity/Q7244096,Prince Jacob
21,http://www.wikidata.org/entity/Q5201073,Cyrus Broacha
22,http://www.wikidata.org/entity/Q5278768,Dinyar Contractor
23,http://www.wikidata.org/entity/Q6373686,Karunas
24,http://www.wikidata.org/entity/Q7563266,Sorabh Pant
25,http://www.wikidata.org/entity/Q114576330,Rajat Sood
26,http://www.wikidata.org/entity/Q12445334,Manoj Joshi
27,http://www.wikidata.org/entity/Q115520325,Vighnesh Pande
28,http://www.wikidata.org/entity/Q13009322,Valluri Balakrishna
29,http://www.wikidata.org/entity/Q87682476,Jayvijay Sachan
30,http://www.wikidata.org/entity/Q99167781,Vadivel Balaji
31,http://www.wikidata.org/entity/Q26919933,Raghu Karumanchi
32,http://www.wikidata.org/entity/Q19663326,Surya
33,http://www.wikidata.org/entity/Q7242504,Pria Viswalingam
34,http://www.wikidata.org/entity/Q84592319,Kunal Kamra
35,http://www.wikidata.org/entity/Q312789,Shakti Kapoor
36,http://www.wikidata.org/entity/Q23882789,Mubeen Saudagar
37,http://www.wikidata.org/entity/Q99394910,Shakalaka Shankar
38,http://www.wikidata.org/entity/Q4794405,Arnab Ranjan Goswami
39,http://www.wikidata.org/entity/Q7929557,Vikram Chandra
40,http://www.wikidata.org/entity/Q19665089,Varun Grover
41,http://www.wikidata.org/entity/Q6123300,Jahor Roy
42,http://www.wikidata.org/entity/Q7994331,M. S. Narayana
43,http://www.wikidata.org/entity/Q41788600,Lilliput
44,http://www.wikidata.org/entity/Q330315,Javed Jaffrey
45,http://www.wikidata.org/entity/Q47518192,Manoj Kumar
46,http://www.wikidata.org/entity/Q107222202,Mayen Mehta
47,http://www.wikidata.org/entity/Q25345790,Sanket Bhosale
48,http://www.wikidata.org/entity/Q4746887,Amit Tandon
49,http://www.wikidata.org/entity/Q47129501,Salim Samatou
50,http://www.wikidata.org/entity/Q15700436,Chitram Srinu
51,http://www.wikidata.org/entity/Q47545232,Kathadi Ramamurthy
52,http://www.wikidata.org/entity/Q6164373,Jaswinder Bhalla
53,http://www.wikidata.org/entity/Q6228086,John D'Silva
54,http://www.wikidata.org/entity/Q7285401,Raja Babu
55,http://www.wikidata.org/entity/Q7461417,Shahabuddin Rathod
56,http://www.wikidata.org/entity/Q18685832,Duvvasi Mohan
57,http://www.wikidata.org/entity/Q20608238,Nirmal Jaura
58,http://www.wikidata.org/entity/Q23007672,Jay Chhaniyara
59,http://www.wikidata.org/entity/Q23007900,Biswa Kalyan Rath
60,http://www.wikidata.org/entity/Q7288904,Ramana Reddy
61,http://www.wikidata.org/entity/Q17417493,Oru Viral Krishna Rao
62,http://www.wikidata.org/entity/Q7920143,Vennela Kishore
63,http://www.wikidata.org/entity/Q114587676,Ojas Rawal
64,http://www.wikidata.org/entity/Q30320208,Sudigali Sudheer
65,http://www.wikidata.org/entity/Q62072692,RJ Vigneshkanth
66,http://www.wikidata.org/entity/Q21704488,Bharat Ganeshpure
67,http://www.wikidata.org/entity/Q2722885,Ashok Dave
68,http://www.wikidata.org/entity/Q117357436,Akash Banerjee
69,http://www.wikidata.org/entity/Q3496304,Rajpal Yadav
70,http://www.wikidata.org/entity/Q4914455,Binnu Dhillon
71,http://www.wikidata.org/entity/Q6167522,Jayan
72,http://www.wikidata.org/entity/Q7089497,Omakuchi Narasimhan
73,http://www.wikidata.org/entity/Q7286477,Raju Srivastav
74,http://www.wikidata.org/entity/Q7709076,Thagubothu Ramesh
75,http://www.wikidata.org/entity/Q7933532,Vir Das
