S.No,item,itemLabel
1,http://www.wikidata.org/entity/Q158136,Kirron Kher
2,http://www.wikidata.org/entity/Q74210243,Pashmina Roshan
3,http://www.wikidata.org/entity/Q2003940,Sakshi Tanwar
4,http://www.wikidata.org/entity/Q54553513,Rajini Vasan
5,http://www.wikidata.org/entity/Q3543017,Rakhi Sawant
6,http://www.wikidata.org/entity/Q3634855,Barkha Dutt
7,http://www.wikidata.org/entity/Q3523189,Kanika
8,http://www.wikidata.org/entity/Q4749141,Amy Cole
9,http://www.wikidata.org/entity/Q57584622,Sakshi Pradhan
10,http://www.wikidata.org/entity/Q4901322,Bharti Singh
11,http://www.wikidata.org/entity/Q6986823,Neelu Vaghela
12,http://www.wikidata.org/entity/Q7030844,Nidhi Razdan
13,http://www.wikidata.org/entity/Q7686300,Tarla Dalal
14,http://www.wikidata.org/entity/Q167636,Farah Khan
15,http://www.wikidata.org/entity/Q79845,Madhu Shalini
16,http://www.wikidata.org/entity/Q188744,Freida Pinto
17,http://www.wikidata.org/entity/Q84494450,Saloni Gaur
18,http://www.wikidata.org/entity/Q6897722,Mona Singh
19,http://www.wikidata.org/entity/Q19519610,Anasuya
20,http://www.wikidata.org/entity/Q7238254,Esther Victoria Abraham
21,http://www.wikidata.org/entity/Q7417258,Sandy Gandhi
22,http://www.wikidata.org/entity/Q114269943,Kusha Kapila
23,http://www.wikidata.org/entity/Q464835,Padma Lakshmi
24,http://www.wikidata.org/entity/Q10980180,Malashri
25,http://www.wikidata.org/entity/Q12073038,Jennifer Winget
26,http://www.wikidata.org/entity/Q7492556,Shefali Oza
27,http://www.wikidata.org/entity/Q20560008,Jhansi
28,http://www.wikidata.org/entity/Q6026877,Indraja
29,http://www.wikidata.org/entity/Q6043141,Nina Wadia
30,http://www.wikidata.org/entity/Q7491056,Shaurya Chauhan
31,http://www.wikidata.org/entity/Q7546539,Smriti Irani
32,http://www.wikidata.org/entity/Q7636907,Suma Kanakala
33,http://www.wikidata.org/entity/Q19803737,Anita Chowdhary
34,http://www.wikidata.org/entity/Q104783831,Sulagnaa Routray
35,http://www.wikidata.org/entity/Q20870055,Seema Rahmani
36,http://www.wikidata.org/entity/Q467403,Nafisa Joseph
37,http://www.wikidata.org/entity/Q37864523,Hari Teja
38,http://www.wikidata.org/entity/Q6379289,Kavita Kaushik
39,http://www.wikidata.org/entity/Q6865056,Mini Mathur
40,http://www.wikidata.org/entity/Q7409036,Sambhavana Sheth
41,http://www.wikidata.org/entity/Q18126228,Jamie Janumala
42,http://www.wikidata.org/entity/Q113463148,Heidi Saadiya
43,http://www.wikidata.org/entity/Q2721868,Mandira Bedi
44,http://www.wikidata.org/entity/Q16732696,Aditi Mittal
45,http://www.wikidata.org/entity/Q3633715,Juhi Parmar
46,http://www.wikidata.org/entity/Q48734644,Smriti Nagpal
47,http://www.wikidata.org/entity/Q97383364,Amita Tagore
48,http://www.wikidata.org/entity/Q18001485,Laxmi Agarwal
49,http://www.wikidata.org/entity/Q7417916,Sangita Ghosh
50,http://www.wikidata.org/entity/Q7634710,Sugandha Mishra
51,http://www.wikidata.org/entity/Q19665776,Perneet Chauhan
52,http://www.wikidata.org/entity/Q464873,Leela Chitnis
53,http://www.wikidata.org/entity/Q53143845,Sindhu Vee
54,http://www.wikidata.org/entity/Q15611257,Nimrat Kaur
55,http://www.wikidata.org/entity/Q5439490,Fearless Nadia
56,http://www.wikidata.org/entity/Q28033782,Mallika Dua
57,http://www.wikidata.org/entity/Q7214157,Urvashi Dholakia
