S.No,item,itemLabel
1,http://www.wikidata.org/entity/Q38393,Asha Bhosle
2,http://www.wikidata.org/entity/Q97246391,Banasree Sengupta
3,http://www.wikidata.org/entity/Q434399,Asha Puthli
4,http://www.wikidata.org/entity/Q422838,Surinder Kaur
5,http://www.wikidata.org/entity/Q100235274,Madhubanti Bagchi
6,http://www.wikidata.org/entity/Q17517187,M.M. Manasi
7,http://www.wikidata.org/entity/Q18977677,Amrita Virk
8,http://www.wikidata.org/entity/Q7418574,Sanjivani
9,http://www.wikidata.org/entity/Q3429995,Bhanumathi Ramakrishna
10,http://www.wikidata.org/entity/Q110469274,Navya Singh
11,http://www.wikidata.org/entity/Q7852779,Tun Tun
12,http://www.wikidata.org/entity/Q30223708,Swati Sharma
13,http://www.wikidata.org/entity/Q21402960,Twinkle
14,http://www.wikidata.org/entity/Q20018253,Ramya Iyer
15,http://www.wikidata.org/entity/Q24550520,Zoya
16,http://www.wikidata.org/entity/Q7293161,Ranjit Kaur
17,http://www.wikidata.org/entity/Q113548632,Arati Misra
18,http://www.wikidata.org/entity/Q114856842,Amrita Nayak
19,http://www.wikidata.org/entity/Q26251259,Raja Kumari
20,http://www.wikidata.org/entity/Q27064146,Sayani Palit
21,http://www.wikidata.org/entity/Q28600182,Rinu Razak
22,http://www.wikidata.org/entity/Q441799,Meenakshi Thapa
23,http://www.wikidata.org/entity/Q465067,M. S. Subbulakshmi
24,http://www.wikidata.org/entity/Q467315,Kavita Krishnamurthy
25,http://www.wikidata.org/entity/Q470416,Geeta Dutt
26,http://www.wikidata.org/entity/Q533341,Mahalakshmi Iyer
27,http://www.wikidata.org/entity/Q539711,Shobha Gurtu
28,http://www.wikidata.org/entity/Q11457118,Amruta Subhash
29,http://www.wikidata.org/entity/Q1187120,S. Sowmya
30,http://www.wikidata.org/entity/Q2724342,Shubha Mudgal
31,http://www.wikidata.org/entity/Q3519929,Bombay Jayashri
32,http://www.wikidata.org/entity/Q3523373,Andrea Jeremiah
33,http://www.wikidata.org/entity/Q3532755,Sudha Ragunathan
34,http://www.wikidata.org/entity/Q3536035,Bhavatharini
35,http://www.wikidata.org/entity/Q3630868,Hirabai Barodekar
36,http://www.wikidata.org/entity/Q4204635,Hema Sardesai
37,http://www.wikidata.org/entity/Q4648309,A. R. Reihana
38,http://www.wikidata.org/entity/Q4734752,Alpana Banerjee
39,http://www.wikidata.org/entity/Q5071273,Chandra Courtney
40,http://www.wikidata.org/entity/Q5071424,Chandrani Mukherjee
41,http://www.wikidata.org/entity/Q5086978,Charumathi Ramachandran
42,http://www.wikidata.org/entity/Q5492958,Zila Khan
43,http://www.wikidata.org/entity/Q5960361,Kollangudi Karuppayee
44,http://www.wikidata.org/entity/Q6026930,Indrani Sen
45,http://www.wikidata.org/entity/Q6039369,Neerja Pandit
46,http://www.wikidata.org/entity/Q6071207,Penaz Masani
47,http://www.wikidata.org/entity/Q6127229,Shruti Pathak
48,http://www.wikidata.org/entity/Q6480415,Lalitha Sivakumar
49,http://www.wikidata.org/entity/Q6749612,Manik Varma
50,http://www.wikidata.org/entity/Q6807586,Meena Khadikar
51,http://www.wikidata.org/entity/Q7040255,Nisha Rajagopal
52,http://www.wikidata.org/entity/Q7280201,Radha Viswanathan
53,http://www.wikidata.org/entity/Q7293000,Rani Vijaya Devi
54,http://www.wikidata.org/entity/Q7379114,Ruma Guha Thakurta
55,http://www.wikidata.org/entity/Q7487294,Shalmali Kholgade
56,http://www.wikidata.org/entity/Q7668166,T. Brinda
57,http://www.wikidata.org/entity/Q7694210,Teejan Bai
58,http://www.wikidata.org/entity/Q7852043,Tulika Ganguly
59,http://www.wikidata.org/entity/Q7914884,Vani Sateesh
60,http://www.wikidata.org/entity/Q9048556,Nandini Srikar
61,http://www.wikidata.org/entity/Q464887,D. K. Pattammal
62,http://www.wikidata.org/entity/Q540496,Garikapati Varalakshmi
63,http://www.wikidata.org/entity/Q580736,Aruna Lama
64,http://www.wikidata.org/entity/Q641384,Uma Mohan
65,http://www.wikidata.org/entity/Q731422,Gangubai Hangal
66,http://www.wikidata.org/entity/Q13120351,Yogita Godbole
67,http://www.wikidata.org/entity/Q2722933,Sunidhi Chauhan
68,http://www.wikidata.org/entity/Q2724719,Chitra Singh
69,http://www.wikidata.org/entity/Q5247086,Sithara Krishnakumar
70,http://www.wikidata.org/entity/Q15956993,Hildamit Lepcha
71,http://www.wikidata.org/entity/Q16209504,Meenal Jain
72,http://www.wikidata.org/entity/Q16728020,Pamela Chopra
73,http://www.wikidata.org/entity/Q16978200,Mousumi Parial
74,http://www.wikidata.org/entity/Q17001281,Zohrabai Ambalewali
75,http://www.wikidata.org/entity/Q17386171,Raashi Khanna
76,http://www.wikidata.org/entity/Q29578012,Shilpa Ray
77,http://www.wikidata.org/entity/Q19547821,Suguna Purushothaman
78,http://www.wikidata.org/entity/Q21064202,Aastha Gill
79,http://www.wikidata.org/entity/Q2049950,K. S. Chithra
80,http://www.wikidata.org/entity/Q24450449,N. J. Nandini
81,http://www.wikidata.org/entity/Q41472370,Krishna Mukherjee
82,http://www.wikidata.org/entity/Q7416297,Sandhya Mukhopadhyay
83,http://www.wikidata.org/entity/Q43280315,Jyoti Nooran
84,http://www.wikidata.org/entity/Q25682141,Gunada Das Kour
85,http://www.wikidata.org/entity/Q563537,Elias Swaed
86,http://www.wikidata.org/entity/Q63061909,Yashashree Bhave
87,http://www.wikidata.org/entity/Q55120382,Deeplina Deka
88,http://www.wikidata.org/entity/Q55583818,Chandan Tiwari
89,http://www.wikidata.org/entity/Q56284000,Praniti
90,http://www.wikidata.org/entity/Q62555050,Shubhada Paradkar
91,http://www.wikidata.org/entity/Q112620863,Aditi Shankar
92,http://www.wikidata.org/entity/Q2040478,Raageshwari
93,http://www.wikidata.org/entity/Q2049827,Megha
94,http://www.wikidata.org/entity/Q2050056,Sadhana Sargam
95,http://www.wikidata.org/entity/Q2050197,P. Susheela
96,http://www.wikidata.org/entity/Q2050320,Mamta Mohandas
97,http://www.wikidata.org/entity/Q2050280,Shweta Mohan
98,http://www.wikidata.org/entity/Q2723980,Falguni Pathak
99,http://www.wikidata.org/entity/Q6681346,Lorna Cordeiro
100,http://www.wikidata.org/entity/Q7914354,Vandana Srinivasan
101,http://www.wikidata.org/entity/Q467693,Manorama
102,http://www.wikidata.org/entity/Q98754015,Sarmita Dutta
103,http://www.wikidata.org/entity/Q98852215,Deep Mala
104,http://www.wikidata.org/entity/Q5673882,Harshdeep Kaur
105,http://www.wikidata.org/entity/Q7632912,Suchitra
106,http://www.wikidata.org/entity/Q2722967,Alisha Chinai
107,http://www.wikidata.org/entity/Q110684295,Neha Jad
108,http://www.wikidata.org/entity/Q6930843,Mubarak Begum
109,http://www.wikidata.org/entity/Q113461150,Sadhvi Krishnapriya
110,http://www.wikidata.org/entity/Q114878267,Pramila Datar
111,http://www.wikidata.org/entity/Q465826,Rekhā
112,http://www.wikidata.org/entity/Q23760823,Kasturi Shankar
113,http://www.wikidata.org/entity/Q24702405,Asees Kaur
114,http://www.wikidata.org/entity/Q4662647,Arati Mukhopadhyay
115,http://www.wikidata.org/entity/Q15401970,Anjana Sowmya
116,http://www.wikidata.org/entity/Q5492516,Pooja Vaidyanath
117,http://www.wikidata.org/entity/Q5712227,Hemlata
118,http://www.wikidata.org/entity/Q28969031,Geeta Dash
119,http://www.wikidata.org/entity/Q3595144,Usha Uthup
120,http://www.wikidata.org/entity/Q3107617,Girija Devi
121,http://www.wikidata.org/entity/Q50380148,Sangita Gosain
122,http://www.wikidata.org/entity/Q42282684,Arpita Mukherjee
123,http://www.wikidata.org/entity/Q106754983,Sailabhama Mahapatra
124,http://www.wikidata.org/entity/Q42577278,Febi Mani
125,http://www.wikidata.org/entity/Q22277872,Nikhita Gandhi
126,http://www.wikidata.org/entity/Q22951180,Kavita Paudwal
127,http://www.wikidata.org/entity/Q2051440,A. P. Komala
128,http://www.wikidata.org/entity/Q43766764,Kavya Ajit
129,http://www.wikidata.org/entity/Q2216799,Varsha Bhosle
130,http://www.wikidata.org/entity/Q3272944,Neha Bhasin
131,http://www.wikidata.org/entity/Q3288794,Usha Mangeshkar
132,http://www.wikidata.org/entity/Q24622903,Sukriti Kakar
133,http://www.wikidata.org/entity/Q3518417,Mallika Sarabhai
134,http://www.wikidata.org/entity/Q16734095,Aparna Panshikar
135,http://www.wikidata.org/entity/Q16745425,Mitali Mukherjee
136,http://www.wikidata.org/entity/Q19896109,Jasmine Sandlas
137,http://www.wikidata.org/entity/Q33311027,Harshida Raval
138,http://www.wikidata.org/entity/Q25681795,Dipali Barthakur
139,http://www.wikidata.org/entity/Q27628117,Atithi Gautam K. C
140,http://www.wikidata.org/entity/Q27656974,Jagjit Kaur
141,http://www.wikidata.org/entity/Q42665934,Abhaya Hiranmayi
142,http://www.wikidata.org/entity/Q42777213,Kalyani Menon
143,http://www.wikidata.org/entity/Q123692796,Stella Ramola
144,http://www.wikidata.org/entity/Q16977344,Sukmit Gurung
145,http://www.wikidata.org/entity/Q18126169,Smita Nair Jain
146,http://www.wikidata.org/entity/Q20988132,Radhika Thilak
147,http://www.wikidata.org/entity/Q24289089,Shivranjani Singh
148,http://www.wikidata.org/entity/Q331155,Shruti Haasan
149,http://www.wikidata.org/entity/Q465848,Meena Kumari
150,http://www.wikidata.org/entity/Q4156562,Hard Kaur
151,http://www.wikidata.org/entity/Q4160503,Deepali Joshi-Shah
152,http://www.wikidata.org/entity/Q4806200,Ashwini Bhide-Deshpande
153,http://www.wikidata.org/entity/Q4902947,Biba Singh
154,http://www.wikidata.org/entity/Q4946034,Bornali Kalita
155,http://www.wikidata.org/entity/Q5070848,Chanchal Bharti
156,http://www.wikidata.org/entity/Q5250548,Deepali Kishore
157,http://www.wikidata.org/entity/Q5267047,Devika Chawla
158,http://www.wikidata.org/entity/Q5317880,Dwaram Lakshmi
159,http://www.wikidata.org/entity/Q6167664,Jayashree Patanekar
160,http://www.wikidata.org/entity/Q7037107,Nilima Sen
161,http://www.wikidata.org/entity/Q7139416,Paroma Banerji
162,http://www.wikidata.org/entity/Q7148666,Pattu Rajagopalan
163,http://www.wikidata.org/entity/Q7229058,Pop Shalini
164,http://www.wikidata.org/entity/Q7239780,Preeti Sagar
165,http://www.wikidata.org/entity/Q7246466,Priya Kanungo
166,http://www.wikidata.org/entity/Q7280185,Radha Mangeshkar
167,http://www.wikidata.org/entity/Q7295154,Rasoolan Bai
168,http://www.wikidata.org/entity/Q7306928,Reena Bhardwaj
169,http://www.wikidata.org/entity/Q7310608,Rekha Bhardwaj
170,http://www.wikidata.org/entity/Q7310612,Rekha Raj
171,http://www.wikidata.org/entity/Q7395773,Saba Azad
172,http://www.wikidata.org/entity/Q7399457,Sahana Devi
173,http://www.wikidata.org/entity/Q7399655,Sahiti G
174,http://www.wikidata.org/entity/Q7415625,Sanchita Bhattacharya
175,http://www.wikidata.org/entity/Q7417929,Sangeetha Katti
176,http://www.wikidata.org/entity/Q7420991,Sapna Awasthi
177,http://www.wikidata.org/entity/Q7640384,Sunitha Sarathy
178,http://www.wikidata.org/entity/Q7668795,T. V. Rathinam
179,http://www.wikidata.org/entity/Q7881027,Uma Ramanan
180,http://www.wikidata.org/entity/Q7929270,Vijayalakshmy Subramaniam
181,http://www.wikidata.org/entity/Q9076907,Shweta Shetty
182,http://www.wikidata.org/entity/Q13111433,K. Omanakutty
183,http://www.wikidata.org/entity/Q13117302,Jaymala Shiledar
184,http://www.wikidata.org/entity/Q16733129,Mili Nair
185,http://www.wikidata.org/entity/Q17411345,Soumya Ramakrishnan
186,http://www.wikidata.org/entity/Q17479076,Gambhari Devi
187,http://www.wikidata.org/entity/Q18098135,Samantha Edwards
188,http://www.wikidata.org/entity/Q18209505,Nilanjana Sarkar
189,http://www.wikidata.org/entity/Q18364020,Latha Raju
190,http://www.wikidata.org/entity/Q18638042,Maria Roe Vincent
191,http://www.wikidata.org/entity/Q18686497,Sumitra Guha
192,http://www.wikidata.org/entity/Q19892051,Jagmohan Kaur
193,http://www.wikidata.org/entity/Q20059908,Shanta Modak
194,http://www.wikidata.org/entity/Q65321505,K S Rehna
195,http://www.wikidata.org/entity/Q27734999,Nimrat Khaira
196,http://www.wikidata.org/entity/Q28101658,Anandi Joshi
197,http://www.wikidata.org/entity/Q29053580,Susmita Das
198,http://www.wikidata.org/entity/Q122749407,Kumudini Debi
199,http://www.wikidata.org/entity/Q122801958,Banshari Lahiri
200,http://www.wikidata.org/entity/Q122803089,Runu Panda
201,http://www.wikidata.org/entity/Q123459538,Gorisha Gogoi
202,http://www.wikidata.org/entity/Q123554709,Sampa Kundu
203,http://www.wikidata.org/entity/Q4855067,Bengaluru Nagarathnamma
204,http://www.wikidata.org/entity/Q116258035,Parul Mishra
205,http://www.wikidata.org/entity/Q76454642,Bina Addy
206,http://www.wikidata.org/entity/Q66528582,Maithili Thakur
207,http://www.wikidata.org/entity/Q57059080,Mannat Noor
208,http://www.wikidata.org/entity/Q100256262,Jayati Chakraborty
209,http://www.wikidata.org/entity/Q113027169,Amika Shail
210,http://www.wikidata.org/entity/Q10971205,B. Jayamma
211,http://www.wikidata.org/entity/Q95997981,Rockstar Ramani Ammal
212,http://www.wikidata.org/entity/Q109604584,Indubala
213,http://www.wikidata.org/entity/Q67073102,Anwesha Dutta
214,http://www.wikidata.org/entity/Q6743750,Malini Rajurkar
215,http://www.wikidata.org/entity/Q6807583,Meena Kapoor
216,http://www.wikidata.org/entity/Q7633738,Sudha Malhotra
217,http://www.wikidata.org/entity/Q7636486,Sulochana Brahaspati
218,http://www.wikidata.org/entity/Q7638771,Sunali Rathod
219,http://www.wikidata.org/entity/Q7639929,Suneeta Rao
220,http://www.wikidata.org/entity/Q104822726,Sunanda (singer)
221,http://www.wikidata.org/entity/Q13058607,Purba Dam
222,http://www.wikidata.org/entity/Q109661024,Lalita Venkatram
223,http://www.wikidata.org/entity/Q109674451,Ira Roshan
224,http://www.wikidata.org/entity/Q7286104,Rajeshwari Datta
225,http://www.wikidata.org/entity/Q4853907,Banani Ghosh
226,http://www.wikidata.org/entity/Q93178182,Banikona Ghoshal
227,http://www.wikidata.org/entity/Q106880361,Aditi Munshi
228,http://www.wikidata.org/entity/Q5101174,Chinnaponnu
