S.No,item,itemLabel
1,http://www.wikidata.org/entity/Q528496,Vijay
2,http://www.wikidata.org/entity/Q54177426,Gulfam Sabri
3,http://www.wikidata.org/entity/Q601272,Rohan Kapoor
4,http://www.wikidata.org/entity/Q5557593,Ghulam Hassan Shaggan
5,http://www.wikidata.org/entity/Q5557645,Ghulam Mustafa Khan
6,http://www.wikidata.org/entity/Q107696116,Smaran
7,http://www.wikidata.org/entity/Q4746854,Amit Kumar
8,http://www.wikidata.org/entity/Q59179481,Sanjith Hegde
9,http://www.wikidata.org/entity/Q111748421,Prateek Gandhi
10,http://www.wikidata.org/entity/Q6347028,Kahlil Joseph
11,http://www.wikidata.org/entity/Q470898,Sonu Nigam
12,http://www.wikidata.org/entity/Q542681,Narada Michael Walden
13,http://www.wikidata.org/entity/Q590853,Farhan Akhtar
14,http://www.wikidata.org/entity/Q642827,Allu Arjun
15,http://www.wikidata.org/entity/Q1391295,Kailash Kher
16,http://www.wikidata.org/entity/Q2049494,Shankar Mahadevan
17,http://www.wikidata.org/entity/Q2049887,Mehboob
18,http://www.wikidata.org/entity/Q2050975,Rahul Nambiar
19,http://www.wikidata.org/entity/Q2051183,Tippu
20,http://www.wikidata.org/entity/Q3200364,Kumar Sanu
21,http://www.wikidata.org/entity/Q3537017,Chembai
22,http://www.wikidata.org/entity/Q3595122,Baba Sehgal
23,http://www.wikidata.org/entity/Q4242886,T. V. Sankaranarayanan
24,http://www.wikidata.org/entity/Q4665670,Abdul Rashid Khan
25,http://www.wikidata.org/entity/Q4734310,Aloke Dutta
26,http://www.wikidata.org/entity/Q4746868,Amit Paul
27,http://www.wikidata.org/entity/Q4803203,Asad Amanat Ali Khan
28,http://www.wikidata.org/entity/Q4818781,Atul Kale
29,http://www.wikidata.org/entity/Q4850071,Balappa Hukkeri
30,http://www.wikidata.org/entity/Q4860904,Barkat Sidhu
31,http://www.wikidata.org/entity/Q4866295,Basavaraj Rajguru
32,http://www.wikidata.org/entity/Q5094161,Chetanya Adib
33,http://www.wikidata.org/entity/Q5269484,Dheena Chandra Dhas
34,http://www.wikidata.org/entity/Q5403952,Veeramanidasan
35,http://www.wikidata.org/entity/Q5520834,Ganesh Hegde
36,http://www.wikidata.org/entity/Q5620548,Gururao Deshpande
37,http://www.wikidata.org/entity/Q5666095,Rahul Ranade
38,http://www.wikidata.org/entity/Q6100730,Ravi Shukla
39,http://www.wikidata.org/entity/Q6122184,Jagannathbuwa Purohit
40,http://www.wikidata.org/entity/Q6168478,Jazzy B
41,http://www.wikidata.org/entity/Q6733266,Maharajapuram Viswanatha Iyer
42,http://www.wikidata.org/entity/Q6746561,Manabendra Mukhopadhyay
43,http://www.wikidata.org/entity/Q6749016,Mangi Mahal
44,http://www.wikidata.org/entity/Q6965577,Narayanrao Vyas
45,http://www.wikidata.org/entity/Q7239754,Preet Brar
46,http://www.wikidata.org/entity/Q7239757,Preet Harpal
47,http://www.wikidata.org/entity/Q7368814,Roshan Sebastian
48,http://www.wikidata.org/entity/Q7396749,Sachin Warrier
49,http://www.wikidata.org/entity/Q281244,Karel Fialka
50,http://www.wikidata.org/entity/Q11160831,Anupam Roy
51,http://www.wikidata.org/entity/Q11169414,Ishmeet Singh
52,http://www.wikidata.org/entity/Q13120255,Yeshwant Balkrishna Joshi
53,http://www.wikidata.org/entity/Q13121445,Shahir Krishnarao Sable
54,http://www.wikidata.org/entity/Q99474638,Poovaiyar
55,http://www.wikidata.org/entity/Q16223903,Abhishek Raghuram
56,http://www.wikidata.org/entity/Q16734078,Bhalchandra Panchwadkar
57,http://www.wikidata.org/entity/Q83098198,Prem Dhillon
58,http://www.wikidata.org/entity/Q27517441,Mandar Agashe
59,http://www.wikidata.org/entity/Q25586138,Satinath Mukhopadhyay
60,http://www.wikidata.org/entity/Q94994048,Syed Kabul Bukhari
61,http://www.wikidata.org/entity/Q96251067,Adhiraj Debbarma
62,http://www.wikidata.org/entity/Q96323435,Monojit Debbarma
63,http://www.wikidata.org/entity/Q97062913,Gur Sidhu
64,http://www.wikidata.org/entity/Q97676614,Javas
65,http://www.wikidata.org/entity/Q98697530,Dost Habibur Rahman
66,http://www.wikidata.org/entity/Q106859569,Asim Kumar Sarkar
