S.No,item,itemLabel
1,http://www.wikidata.org/entity/Q7929395,Vikas Khanna
2,http://www.wikidata.org/entity/Q16730582,Kunal Kapur
3,http://www.wikidata.org/entity/Q7650511,Suvir Saran
4,http://www.wikidata.org/entity/Q16213831,Vivek Singh
5,http://www.wikidata.org/entity/Q16203733,Chef Jolly
6,http://www.wikidata.org/entity/Q16730796,Mehboob Alam Khan
7,http://www.wikidata.org/entity/Q7409654,Sanjeev Kapoor
8,http://www.wikidata.org/entity/Q18921471,Ranveer Brar
9,http://www.wikidata.org/entity/Q16210487,Nilesh Limaye
10,http://www.wikidata.org/entity/Q16214976,Manish Mehrotra
11,http://www.wikidata.org/entity/Q16231678,Saransh Goila
12,http://www.wikidata.org/entity/Q7286073,Rajesh Mazumder
13,http://www.wikidata.org/entity/Q7418487,Sanjay Thumma
14,http://www.wikidata.org/entity/Q26236296,Imitiaz Qureshi
15,http://www.wikidata.org/entity/Q6750454,Manjunath Mural
16,http://www.wikidata.org/entity/Q88553411,Floyd Cardoz
