S.No,item,itemLabel
1,http://www.wikidata.org/entity/Q4784423,Arati Prabhakar
2,http://www.wikidata.org/entity/Q64952330,Taskeen Fatima Basha
3,http://www.wikidata.org/entity/Q89919978,Sharanya Ari
4,http://www.wikidata.org/entity/Q104900609,M.S. Sunil
5,http://www.wikidata.org/entity/Q115641988,Sowmiya
6,http://www.wikidata.org/entity/Q111716444,Varsha Gupta
7,http://www.wikidata.org/entity/Q89372601,Rashmi Urdhwardeshe
8,http://www.wikidata.org/entity/Q105858820,Ila Ghose
9,http://www.wikidata.org/entity/Q110497469,Rashmi Parekh
10,http://www.wikidata.org/entity/Q29439153,Grace Banu
11,http://www.wikidata.org/entity/Q15146786,Rama Govindarajan
12,http://www.wikidata.org/entity/Q3521524,Tessy Thomas
13,http://www.wikidata.org/entity/Q28867714,Nandini Harinath
14,http://www.wikidata.org/entity/Q237879,Kalpana Chawla
15,http://www.wikidata.org/entity/Q25907353,Sudhira Das
16,http://www.wikidata.org/entity/Q4777865,Anuradha Acharya
17,http://www.wikidata.org/entity/Q4802163,Aruna Miller
18,http://www.wikidata.org/entity/Q51097483,Namita Nayak
19,http://www.wikidata.org/entity/Q62007155,Tage Rita
20,http://www.wikidata.org/entity/Q66317030,Sheela K. Ramasesha
21,http://www.wikidata.org/entity/Q4802164,Aruna Kumari Galla
22,http://www.wikidata.org/entity/Q37420933,Vidyut Gore
23,http://www.wikidata.org/entity/Q120041410,Neha Shivaji Naikwade
24,http://www.wikidata.org/entity/Q121788902,Kalpana. K
25,http://www.wikidata.org/entity/Q51772930,Drashti Kaushik
26,http://www.wikidata.org/entity/Q56446941,Bannihatti Parameshwarappa Dakshayani
27,http://www.wikidata.org/entity/Q16231757,Komal Jha
28,http://www.wikidata.org/entity/Q6480405,Lalith J. Rao
29,http://www.wikidata.org/entity/Q7405700,Saloni Malhotra
30,http://www.wikidata.org/entity/Q62019590,Mini Vasudevan
31,http://www.wikidata.org/entity/Q55173,Padmasree Warrior
32,http://www.wikidata.org/entity/Q53121133,Annie Sinha Roy
33,http://www.wikidata.org/entity/Q66770039,Ayyalasomayajula Lalitha
34,http://www.wikidata.org/entity/Q14946845,Pratibha Gai
35,http://www.wikidata.org/entity/Q16149766,Raji Arasu
36,http://www.wikidata.org/entity/Q56052020,Manasi Girishchandra Joshi
37,http://www.wikidata.org/entity/Q59098984,Sumita Roy Dutta
38,http://www.wikidata.org/entity/Q31801329,Bibhusita Das
39,http://www.wikidata.org/entity/Q85266746,Trishna Basak
40,http://www.wikidata.org/entity/Q98541007,P.K. Thressia
41,http://www.wikidata.org/entity/Q99336731,S. B. Divya
42,http://www.wikidata.org/entity/Q79052384,Priya Balasubramaniam
43,http://www.wikidata.org/entity/Q91329070,Subha Varier
