S.No,item,itemLabel
1,http://www.wikidata.org/entity/Q325393,Satish Dhawan
2,http://www.wikidata.org/entity/Q4834125,B. N. Suresh
3,http://www.wikidata.org/entity/Q5094512,Chewang Norphel
4,http://www.wikidata.org/entity/Q5628486,H. R. Janardhana Iyengar
5,http://www.wikidata.org/entity/Q90098478,Akhil Turai
6,http://www.wikidata.org/entity/Q6713007,M. Pitchaimani
7,http://www.wikidata.org/entity/Q7037126,Nilmani Mitra
8,http://www.wikidata.org/entity/Q1085408,Noshir Gowadia
9,http://www.wikidata.org/entity/Q2724184,Koppillil Radhakrishnan
10,http://www.wikidata.org/entity/Q3523280,Mylswamy Annadurai
11,http://www.wikidata.org/entity/Q6354840,Kalyan Banerjee
12,http://www.wikidata.org/entity/Q80175577,Amol V Shivange
13,http://www.wikidata.org/entity/Q90261252,Palaniswamy Sivakumar
14,http://www.wikidata.org/entity/Q6323666,K. N. Shankara
15,http://www.wikidata.org/entity/Q112223195,Yogesh Anant Joshi
16,http://www.wikidata.org/entity/Q7117526,P. S. Veeraraghavan
17,http://www.wikidata.org/entity/Q7177899,Peter de Noronha
18,http://www.wikidata.org/entity/Q7279557,Rachpal Singh Gill
19,http://www.wikidata.org/entity/Q7292598,Rangachar Narayana Iyengar
20,http://www.wikidata.org/entity/Q7688028,Tathagata Roy
21,http://www.wikidata.org/entity/Q18811041,Anoop Kumar Mittal
22,http://www.wikidata.org/entity/Q1061791,Chandrakant S. Desai
23,http://www.wikidata.org/entity/Q1273577,E. Sreedharan
24,http://www.wikidata.org/entity/Q1484297,G. Madhavan Nair
25,http://www.wikidata.org/entity/Q16885608,Ashutosh Sharma
26,http://www.wikidata.org/entity/Q14476266,T. K. Alex
27,http://www.wikidata.org/entity/Q25753533,Shashikanth Ramawat
28,http://www.wikidata.org/entity/Q19895382,Prahlada
29,http://www.wikidata.org/entity/Q6166960,Jay Narayan Vyas
30,http://www.wikidata.org/entity/Q7288535,Ram Narain Agarwal
31,http://www.wikidata.org/entity/Q1088650,Vallampadugai Srinivasa Raghavan Arunachalam
32,http://www.wikidata.org/entity/Q87827704,Aditya Bhan
33,http://www.wikidata.org/entity/Q16221463,Ajit Narayanan
34,http://www.wikidata.org/entity/Q7530629,Sirshendu De
35,http://www.wikidata.org/entity/Q5555489,Ghananand Pande
36,http://www.wikidata.org/entity/Q24284557,S. Srinivasan
37,http://www.wikidata.org/entity/Q88553101,Darsh T. Wasan
38,http://www.wikidata.org/entity/Q7418452,Sanjay Mittal
39,http://www.wikidata.org/entity/Q12053146,Harsha Bhogle
40,http://www.wikidata.org/entity/Q3526620,Gopalswamy Doraiswamy Naidu
41,http://www.wikidata.org/entity/Q15138371,Subbiah Arunan
42,http://www.wikidata.org/entity/Q17478959,Ali Nawaz Jung Bahadur
43,http://www.wikidata.org/entity/Q17486541,Jyeshtharaj Joshi
44,http://www.wikidata.org/entity/Q6965526,Narayanan Komerath
45,http://www.wikidata.org/entity/Q7286019,Rajendra Shende
46,http://www.wikidata.org/entity/Q18761821,A. S. Kiran Kumar
47,http://www.wikidata.org/entity/Q19547762,Munirathna Anandakrishnan
48,http://www.wikidata.org/entity/Q19667398,Gyanendra Nath Pande
49,http://www.wikidata.org/entity/Q4121995,Roddam Narasimha
50,http://www.wikidata.org/entity/Q25585373,Yogesh Moreshwar Joshi
51,http://www.wikidata.org/entity/Q26202743,H. R. Nagendra
52,http://www.wikidata.org/entity/Q26465835,G. D. Yadav
53,http://www.wikidata.org/entity/Q111623393,V.D. Mehta
54,http://www.wikidata.org/entity/Q16731055,P. Krishnamurthy
55,http://www.wikidata.org/entity/Q6808998,Megh R. Goyal
56,http://www.wikidata.org/entity/Q17385986,Goverdhan Mehta
57,http://www.wikidata.org/entity/Q28481218,Suresh Kumar Bhatia
58,http://www.wikidata.org/entity/Q9513,A. P. J. Abdul Kalam
59,http://www.wikidata.org/entity/Q1522801,Man Mohan Sharma
60,http://www.wikidata.org/entity/Q117384006,Yogesh Singh Chauhan
61,http://www.wikidata.org/entity/Q24851623,A. K. Roy
62,http://www.wikidata.org/entity/Q118372170,Ranga Narayaran
63,http://www.wikidata.org/entity/Q19891564,Vishnu Madhav Ghatage
64,http://www.wikidata.org/entity/Q59240260,S. S. Rathore
65,http://www.wikidata.org/entity/Q19346714,Tapan Misra
66,http://www.wikidata.org/entity/Q121433834,Hsevras Edrok
67,http://www.wikidata.org/entity/Q19896167,Dipankar Das Sarma
68,http://www.wikidata.org/entity/Q72792848,Ashwini Ratnoo
69,http://www.wikidata.org/entity/Q121714436,Sunil Bhagwat
70,http://www.wikidata.org/entity/Q235553,Arunachalam Muruganantham
71,http://www.wikidata.org/entity/Q21062343,Alla Venkata Rama Rao
72,http://www.wikidata.org/entity/Q21063550,Bhrigu Nath Singh
73,http://www.wikidata.org/entity/Q910638,Homi Sethna
74,http://www.wikidata.org/entity/Q122259357,Param Nath Bhaduri
75,http://www.wikidata.org/entity/Q54068342,Raja Radhika Raman Sinha
76,http://www.wikidata.org/entity/Q3521551,Resul Pookutty
77,http://www.wikidata.org/entity/Q4889104,Benjamin Peary Pal
78,http://www.wikidata.org/entity/Q5015117,C V Seshadri
79,http://www.wikidata.org/entity/Q67409375,Rakesh Joshi
80,http://www.wikidata.org/entity/Q6951676,N. K. Naik
81,http://www.wikidata.org/entity/Q6961382,Nambi Narayanan
82,http://www.wikidata.org/entity/Q28530131,Devang Vipin Khakhar
83,http://www.wikidata.org/entity/Q7563265,Sorab K. Ghandhi
84,http://www.wikidata.org/entity/Q7908705,Vaidhyanathaswamy Santhanam
85,http://www.wikidata.org/entity/Q18719432,Prem Shanker Goel
86,http://www.wikidata.org/entity/Q13059524,Rathindranath Tagore
87,http://www.wikidata.org/entity/Q16728162,Sridhar Condoor
88,http://www.wikidata.org/entity/Q16734699,M.Y.S. Prasad
89,http://www.wikidata.org/entity/Q19979349,Justin Jose
90,http://www.wikidata.org/entity/Q20735827,Kuzhikalail M. Abraham
91,http://www.wikidata.org/entity/Q72941913,R. Aravamudan
92,http://www.wikidata.org/entity/Q60544957,Ashwin Gumaste
93,http://www.wikidata.org/entity/Q24053925,Virender Lal Chopra
94,http://www.wikidata.org/entity/Q20820990,Sivan Kailasavadivoo
95,http://www.wikidata.org/entity/Q40742173,Jiji P Joseph
96,http://www.wikidata.org/entity/Q61470879,Venkateswara Rao Yadlapalli
97,http://www.wikidata.org/entity/Q72795810,Satyavrata Samavedi
98,http://www.wikidata.org/entity/Q96652790,Viishvek
99,http://www.wikidata.org/entity/Q2671553,Ajay Bhatt
100,http://www.wikidata.org/entity/Q100316110,N. D. Appachan
101,http://www.wikidata.org/entity/Q6323474,K. K. Srinivasan
102,http://www.wikidata.org/entity/Q7499362,Shivdeep Lande
103,http://www.wikidata.org/entity/Q7631269,Subhav Sinha
104,http://www.wikidata.org/entity/Q4746846,Amit Goyal
105,http://www.wikidata.org/entity/Q12458917,Sobha Singh
106,http://www.wikidata.org/entity/Q16221078,Sreejesh Nair
107,http://www.wikidata.org/entity/Q16744934,C. P. Sadashivaiah
108,http://www.wikidata.org/entity/Q111152243,Raghbir Singh Khandpur
109,http://www.wikidata.org/entity/Q8051449,Yelavarthy Nayudamma
110,http://www.wikidata.org/entity/Q104119183,Venkatrao K. Badami
111,http://www.wikidata.org/entity/Q180385,Verghese Kurien
112,http://www.wikidata.org/entity/Q22006945,Umesh Mishra
113,http://www.wikidata.org/entity/Q4764668,Anil Sahasrabudhe
114,http://www.wikidata.org/entity/Q4805151,Ashish Manchanda
115,http://www.wikidata.org/entity/Q4834071,B. Jayant Baliga
116,http://www.wikidata.org/entity/Q16143126,Kiran Seth
117,http://www.wikidata.org/entity/Q16846874,N. J. Rao
118,http://www.wikidata.org/entity/Q6323404,K. J. Singh
119,http://www.wikidata.org/entity/Q28465322,Surendra Prasad
120,http://www.wikidata.org/entity/Q7387579,S. K. Jain
121,http://www.wikidata.org/entity/Q113107853,Sandip Tiwari
122,http://www.wikidata.org/entity/Q8069886,Zeyaur R. Khan
123,http://www.wikidata.org/entity/Q330168,Suhas Patankar
124,http://www.wikidata.org/entity/Q454696,Amar Bose
125,http://www.wikidata.org/entity/Q13110623,M. R. Rajakrishnan
126,http://www.wikidata.org/entity/Q3595477,Ali Manikfan
127,http://www.wikidata.org/entity/Q14394037,Midhun Jith
128,http://www.wikidata.org/entity/Q25999593,Palghat Vaidyanathan
129,http://www.wikidata.org/entity/Q4648374,A. S. Rao
130,http://www.wikidata.org/entity/Q4700762,Akhlesh Lakhtakia
131,http://www.wikidata.org/entity/Q4802488,Arvind Mohan Kayastha
132,http://www.wikidata.org/entity/Q4854650,Bandlamudi Subba Rao
133,http://www.wikidata.org/entity/Q26465944,V. P. Krishnakumar
134,http://www.wikidata.org/entity/Q17285341,Makrand Desai
135,http://www.wikidata.org/entity/Q6712261,M.R. Srinivasan
136,http://www.wikidata.org/entity/Q28474399,B. D. Kulkarni
137,http://www.wikidata.org/entity/Q28481221,Vivek Borkar
138,http://www.wikidata.org/entity/Q28606460,Subhasis Chaudhuri
139,http://www.wikidata.org/entity/Q17901070,Bal Dattatreya Tilak
140,http://www.wikidata.org/entity/Q7295454,Ratan Kumar Sinha
141,http://www.wikidata.org/entity/Q18155538,Raj Mittra
142,http://www.wikidata.org/entity/Q19667648,Mohan Singh Kothari
143,http://www.wikidata.org/entity/Q21621177,Arsh Shah Dilbagi
144,http://www.wikidata.org/entity/Q22277325,V. K. Chaturvedi
145,http://www.wikidata.org/entity/Q2130862,Rangaswamy Srinivasan
146,http://www.wikidata.org/entity/Q12990706,Arja Janardhana Rao
147,http://www.wikidata.org/entity/Q4648404,A. Sivathanu Pillai
148,http://www.wikidata.org/entity/Q4795479,Arogyaswami Paulraj
149,http://www.wikidata.org/entity/Q4805732,Ashok Gadgil
150,http://www.wikidata.org/entity/Q5512393,G. Parameshwara
151,http://www.wikidata.org/entity/Q16252188,A. S. Laxmi Narayanan
152,http://www.wikidata.org/entity/Q28673306,Ashish Kishore Lele
153,http://www.wikidata.org/entity/Q30819387,Nilesh Gupta
154,http://www.wikidata.org/entity/Q21663052,Boby John
155,http://www.wikidata.org/entity/Q22004688,Debatosh Guha
156,http://www.wikidata.org/entity/Q23542564,Vishwani Agrawal
157,http://www.wikidata.org/entity/Q3497331,Balram Jakhar
158,http://www.wikidata.org/entity/Q58057393,Chitti
159,http://www.wikidata.org/entity/Q6323682,K. Nammalvar
160,http://www.wikidata.org/entity/Q17708993,A G Ramakrishnan
161,http://www.wikidata.org/entity/Q28729641,Ranjan Mallik
162,http://www.wikidata.org/entity/Q39057683,Sivasubramanian Srikantan
163,http://www.wikidata.org/entity/Q462446,C. Kumar N. Patel
164,http://www.wikidata.org/entity/Q29472828,Subramanian Ramanathan
165,http://www.wikidata.org/entity/Q12446452,Maneklal Sankalchand Thacker
166,http://www.wikidata.org/entity/Q3442375,Kailash Satyarthi
167,http://www.wikidata.org/entity/Q26844726,Sai Shravanam
168,http://www.wikidata.org/entity/Q7117117,P. A. Venkatachalam
169,http://www.wikidata.org/entity/Q48732972,Bhupendrabhai Patel
170,http://www.wikidata.org/entity/Q21643009,Sandeep Kurissery
171,http://www.wikidata.org/entity/Q16225449,Hridayeshwar Singh Bhati
172,http://www.wikidata.org/entity/Q27973934,D. Srinivasa Reddy
173,http://www.wikidata.org/entity/Q17484226,N. Harikumar
174,http://www.wikidata.org/entity/Q28595350,Soumitro Banerjee
175,http://www.wikidata.org/entity/Q28827872,Sinoy Joseph
176,http://www.wikidata.org/entity/Q18619477,P. M. Satheesh
177,http://www.wikidata.org/entity/Q20639296,Gurcharan Singh Kalkat
178,http://www.wikidata.org/entity/Q42898419,Neelesh B. Mehta
179,http://www.wikidata.org/entity/Q22670785,Samares Kar
180,http://www.wikidata.org/entity/Q64667239,Chintakindi Mallesham
181,http://www.wikidata.org/entity/Q65232024,Niranjan Ek
182,http://www.wikidata.org/entity/Q84670320,Sankar Sen
183,http://www.wikidata.org/entity/Q37644615,Dadaji Ramaji Khobragade
184,http://www.wikidata.org/entity/Q47038386,Dipankar Raychaudhuri
185,http://www.wikidata.org/entity/Q31726220,Bhabesh Chandra Bhaduri
186,http://www.wikidata.org/entity/Q94709925,Sundaram Verma
187,http://www.wikidata.org/entity/Q100487454,Regunatha Pichai
188,http://www.wikidata.org/entity/Q90093051,B. B. Desai
189,http://www.wikidata.org/entity/Q48472875,Jim Jacob
190,http://www.wikidata.org/entity/Q102198215,P. R. Kumar
191,http://www.wikidata.org/entity/Q4751235,Anand
192,http://www.wikidata.org/entity/Q107735627,Pranab Kumar Mukhopadhyay
193,http://www.wikidata.org/entity/Q4850411,Baldev Raj
194,http://www.wikidata.org/entity/Q7898155,Upadrasta Ramamurty
