S.No,item,itemLabel
1,http://www.wikidata.org/entity/Q63203970,Sangita Kulathinal
2,http://www.wikidata.org/entity/Q107404711,Paromita Das
3,http://www.wikidata.org/entity/Q66072511,Pratibha Varma-Nelson
4,http://www.wikidata.org/entity/Q55621009,Geetha Ganapathy-Doré
5,http://www.wikidata.org/entity/Q111730316,Baijayanti Chatterjee
6,http://www.wikidata.org/entity/Q102342705,Madhuri Mulekar
7,http://www.wikidata.org/entity/Q105482995,Darshana Dholakia
8,http://www.wikidata.org/entity/Q106547450,Uma J. Lele
9,http://www.wikidata.org/entity/Q107456860,Tahera Qutbuddin
10,http://www.wikidata.org/entity/Q13637604,Ila Mitra
11,http://www.wikidata.org/entity/Q111659881,Nupur Chaudhuri
12,http://www.wikidata.org/entity/Q112687727,Tasneem Abbasi
13,http://www.wikidata.org/entity/Q86613575,Kulbir Kaur Ghuman
14,http://www.wikidata.org/entity/Q15446255,Sarah Chakko
15,http://www.wikidata.org/entity/Q4751502,Ananya Roy
16,http://www.wikidata.org/entity/Q5409784,Eunice de Souza
17,http://www.wikidata.org/entity/Q102146258,Prof. Pushpita Sarkar
18,http://www.wikidata.org/entity/Q19666813,Indulata Sukla
19,http://www.wikidata.org/entity/Q357592,Aditi Lahiri
20,http://www.wikidata.org/entity/Q450277,Raman Parimala
21,http://www.wikidata.org/entity/Q580590,Ponnara Saraswathi
22,http://www.wikidata.org/entity/Q30068127,Radhika Gajjala
23,http://www.wikidata.org/entity/Q15724857,Binapani Mohanty
24,http://www.wikidata.org/entity/Q15146755,Joyanti Chutia
25,http://www.wikidata.org/entity/Q112132118,T. R. Saraswathi
26,http://www.wikidata.org/entity/Q7931340,Vina Mazumdar
27,http://www.wikidata.org/entity/Q41800125,Rohini Somanathan
28,http://www.wikidata.org/entity/Q21293239,Mangala Narlikar
29,http://www.wikidata.org/entity/Q465208,Jhumpa Lahiri
30,http://www.wikidata.org/entity/Q21994064,Geeta Sanon
31,http://www.wikidata.org/entity/Q97073489,Uttara Padwar
32,http://www.wikidata.org/entity/Q2366381,Sunetra Gupta
