S.No,item,itemLabel
1,http://www.wikidata.org/entity/Q475162,Mohan Agashe
2,http://www.wikidata.org/entity/Q107342196,Santosh Kumar Kacker
3,http://www.wikidata.org/entity/Q107388468,G. Suryanarayana Raju
4,http://www.wikidata.org/entity/Q107610165,P. V. Sudhakar
5,http://www.wikidata.org/entity/Q5006690,C. M. Prasad
6,http://www.wikidata.org/entity/Q89176886,Tsering Norboo
7,http://www.wikidata.org/entity/Q4669200,Abraham Thomas
8,http://www.wikidata.org/entity/Q7117164,P. C. Shastri
9,http://www.wikidata.org/entity/Q19665879,Narendra Prasad
10,http://www.wikidata.org/entity/Q107612453,G. Bhagya Rao
11,http://www.wikidata.org/entity/Q16013797,C. Balakrishnan
12,http://www.wikidata.org/entity/Q109555849,Umar Riaz
13,http://www.wikidata.org/entity/Q24004957,Arvind Kumar
14,http://www.wikidata.org/entity/Q5054982,Ram Nath Kak
15,http://www.wikidata.org/entity/Q6323567,K. M. Cherian
16,http://www.wikidata.org/entity/Q6965834,Naresh Trehan
17,http://www.wikidata.org/entity/Q21176148,P. B. Buckshey
18,http://www.wikidata.org/entity/Q86007496,Sandip Shrotri
19,http://www.wikidata.org/entity/Q107365860,Chandra V. N. Cheruvu
20,http://www.wikidata.org/entity/Q2866567,Ashoka Prasad
21,http://www.wikidata.org/entity/Q4764651,Anil Kumar Bhalla
22,http://www.wikidata.org/entity/Q5228136,Davangere Devanand
23,http://www.wikidata.org/entity/Q6374030,Kasaraneni Sadasivarao
24,http://www.wikidata.org/entity/Q21981198,Mohit Bhandari
25,http://www.wikidata.org/entity/Q6956493,Naa Someswara
26,http://www.wikidata.org/entity/Q7273787,R. Kesavan Nair
27,http://www.wikidata.org/entity/Q105446577,Chandra Bhan Singh
28,http://www.wikidata.org/entity/Q107172383,Dr. Neeraj Sahni
29,http://www.wikidata.org/entity/Q3112824,Govindappa Venkataswamy
30,http://www.wikidata.org/entity/Q14647783,Harsh Vardhan
31,http://www.wikidata.org/entity/Q41790058,Atul Kumar
32,http://www.wikidata.org/entity/Q51670384,Q51670384
33,http://www.wikidata.org/entity/Q5512147,G. Bakthavathsalam
34,http://www.wikidata.org/entity/Q6365485,Kantilal Hastimal Sancheti
35,http://www.wikidata.org/entity/Q6733723,Mahendra Bhandari
36,http://www.wikidata.org/entity/Q6893279,Mohammed Rela
37,http://www.wikidata.org/entity/Q7285366,Raj Vir Singh Yadav
38,http://www.wikidata.org/entity/Q7668554,T. Narayana Rao
39,http://www.wikidata.org/entity/Q8049353,Yarlagadda Nayudamma
40,http://www.wikidata.org/entity/Q19666712,Mayilvahanan Natarajan
41,http://www.wikidata.org/entity/Q21712261,Vikram Patel
42,http://www.wikidata.org/entity/Q55196719,Raj Kumar
43,http://www.wikidata.org/entity/Q4699506,Ajai R. Singh
44,http://www.wikidata.org/entity/Q56420221,Bharat Vatwani
45,http://www.wikidata.org/entity/Q4647788,A. G. K. Gokhale
46,http://www.wikidata.org/entity/Q4739187,Amal Chakraborty
47,http://www.wikidata.org/entity/Q4777807,Anup Kumar Saha
48,http://www.wikidata.org/entity/Q4802513,Arvinder Singh Soin
49,http://www.wikidata.org/entity/Q26703038,T. K. Lahiri
50,http://www.wikidata.org/entity/Q16091597,A. Ranganadha Rao
51,http://www.wikidata.org/entity/Q26923346,Arjunan Rajasekaran
52,http://www.wikidata.org/entity/Q16910056,Sanjeev Balyan
53,http://www.wikidata.org/entity/Q16932365,Wilfred de Souza
54,http://www.wikidata.org/entity/Q17004139,Anirudh Kala
55,http://www.wikidata.org/entity/Q6937352,Murari Mohan Mukherjee
56,http://www.wikidata.org/entity/Q17495900,Noshir M. Shroff
57,http://www.wikidata.org/entity/Q7117196,P. D. Gaitonde
58,http://www.wikidata.org/entity/Q17711318,Thayil John Cherian
59,http://www.wikidata.org/entity/Q124151666,Lakshman Das
60,http://www.wikidata.org/entity/Q7418457,Sanjay Oak
61,http://www.wikidata.org/entity/Q18822352,Vikram Marwah
62,http://www.wikidata.org/entity/Q19598392,Rajiv Parakh
63,http://www.wikidata.org/entity/Q932829,Zakir Naik
64,http://www.wikidata.org/entity/Q12453918,Shantilal Jamnadas Mehta
65,http://www.wikidata.org/entity/Q2366909,Akrit Jaswal
66,http://www.wikidata.org/entity/Q2748509,P. K. Sethi
67,http://www.wikidata.org/entity/Q23932777,Darab Jehangir Jussawala
68,http://www.wikidata.org/entity/Q24285775,Natesan Rangabashyam
69,http://www.wikidata.org/entity/Q4648463,A. V. Gurava Reddy
70,http://www.wikidata.org/entity/Q5657397,Hariharan Srinivasan
71,http://www.wikidata.org/entity/Q6036960,Jayant Patel
72,http://www.wikidata.org/entity/Q6713130,M. S. Valiathan
73,http://www.wikidata.org/entity/Q42589695,K. Ranga Rama Krishnan
74,http://www.wikidata.org/entity/Q1880759,Murugappa Channaveerappa Modi
75,http://www.wikidata.org/entity/Q65030496,Priyadarshi Ranjan
76,http://www.wikidata.org/entity/Q123005718,Himangshu Sett
77,http://www.wikidata.org/entity/Q123122836,Subba Rao Bhavaraju
78,http://www.wikidata.org/entity/Q123123188,Satyavaraprasad Kadali
79,http://www.wikidata.org/entity/Q123226038,Satyanarayana Gavarasana
80,http://www.wikidata.org/entity/Q4833802,B.G. Matapurkar
81,http://www.wikidata.org/entity/Q26702947,Gopi Chand Mannam
82,http://www.wikidata.org/entity/Q6164365,Jaswant Singh Neki
83,http://www.wikidata.org/entity/Q6932000,Muffazal Lakdawala
84,http://www.wikidata.org/entity/Q124759868,Gannavarapu Varaha Narasimha Murthy
85,http://www.wikidata.org/entity/Q19560692,K. P. Haridas
86,http://www.wikidata.org/entity/Q20984396,N. H. Antia
87,http://www.wikidata.org/entity/Q22004765,Jitendra Mohan Hans
88,http://www.wikidata.org/entity/Q22279544,Ashok Pai
89,http://www.wikidata.org/entity/Q30223772,Shekhar Saxena
90,http://www.wikidata.org/entity/Q65220494,Anil Krishna Barat
91,http://www.wikidata.org/entity/Q24572914,P.V. Guharaj
92,http://www.wikidata.org/entity/Q17054202,Subash Gupta
93,http://www.wikidata.org/entity/Q26251288,Shiv Narain Kureel
94,http://www.wikidata.org/entity/Q61648832,Illias Ali
95,http://www.wikidata.org/entity/Q30302654,Prakash Desai
96,http://www.wikidata.org/entity/Q54869904,Jacob Cherian
97,http://www.wikidata.org/entity/Q62081686,Giriraj Singh Bora
98,http://www.wikidata.org/entity/Q105447938,Santokh Singh Anand
99,http://www.wikidata.org/entity/Q96179608,Sanatan Rath
100,http://www.wikidata.org/entity/Q107550110,Chunduri Radhakanth
101,http://www.wikidata.org/entity/Q104697106,D. Bhaskara Reddy
102,http://www.wikidata.org/entity/Q380221,Vilayanur S. Ramachandran
103,http://www.wikidata.org/entity/Q984570,Mani Menon
104,http://www.wikidata.org/entity/Q107361310,Chintala Raja Ram Mohan Reddy
105,http://www.wikidata.org/entity/Q107482042,Patnala Guru Prasad
106,http://www.wikidata.org/entity/Q4834151,Bhuvaraghan Palaniappan
107,http://www.wikidata.org/entity/Q6553752,Lingam Suryanarayana
108,http://www.wikidata.org/entity/Q107301280,Meharban Singh
109,http://www.wikidata.org/entity/Q107439491,Bendapudi Venkata Ramachandra
110,http://www.wikidata.org/entity/Q107463657,D. Govinda Reddy
111,http://www.wikidata.org/entity/Q107648988,Vipperla Satyanarayana
112,http://www.wikidata.org/entity/Q13564529,P. K. R. Warrier
113,http://www.wikidata.org/entity/Q15636315,Bendapudi Venkata Satyanarayana
114,http://www.wikidata.org/entity/Q4834079,B. K. Goyal
115,http://www.wikidata.org/entity/Q4883664,Belle Monappa Hegde
116,http://www.wikidata.org/entity/Q16005989,Sisir Kumar Bose
117,http://www.wikidata.org/entity/Q5102343,Chitranjan Singh Ranawat
118,http://www.wikidata.org/entity/Q5102522,Chitturi Satyanarayana
119,http://www.wikidata.org/entity/Q16196668,Raghu Ram
120,http://www.wikidata.org/entity/Q5266968,Devi Shetty
121,http://www.wikidata.org/entity/Q5276806,Dilip Mahalanabis
122,http://www.wikidata.org/entity/Q110573114,Dwijesh Kumar Panda
123,http://www.wikidata.org/entity/Q16890620,Mahesh Sharma
124,http://www.wikidata.org/entity/Q17145933,N H Wadia
125,http://www.wikidata.org/entity/Q6279302,Jose Chacko Periappuram
126,http://www.wikidata.org/entity/Q7274073,R. V. Jayakumar
127,http://www.wikidata.org/entity/Q7283023,Raghunath Vithal Khedkar
128,http://www.wikidata.org/entity/Q7937062,Vithal Nagesh Shirodkar
