S.No,item,itemLabel
1,http://www.wikidata.org/entity/Q63203970,Sangita Kulathinal
2,http://www.wikidata.org/entity/Q107404711,Paromita Das
3,http://www.wikidata.org/entity/Q105482995,Darshana Dholakia
4,http://www.wikidata.org/entity/Q13637604,Ila Mitra
5,http://www.wikidata.org/entity/Q112687727,Tasneem Abbasi
6,http://www.wikidata.org/entity/Q5409784,Eunice de Souza
7,http://www.wikidata.org/entity/Q102146258,Prof. Pushpita Sarkar
8,http://www.wikidata.org/entity/Q15724857,Binapani Mohanty
9,http://www.wikidata.org/entity/Q15146755,Joyanti Chutia
10,http://www.wikidata.org/entity/Q112132118,T. R. Saraswathi
11,http://www.wikidata.org/entity/Q21994064,Geeta Sanon
12,http://www.wikidata.org/entity/Q7426853,Satwant Pasricha
13,http://www.wikidata.org/entity/Q18156959,Prabhat Nalini Das
14,http://www.wikidata.org/entity/Q105483235,Kirtida Joshi
15,http://www.wikidata.org/entity/Q1990280,Nikita Dhawan
16,http://www.wikidata.org/entity/Q18341851,Priti Shankar
17,http://www.wikidata.org/entity/Q21264644,Shalini Randeria
18,http://www.wikidata.org/entity/Q13057420,Karunakona Gupta
19,http://www.wikidata.org/entity/Q18988546,Sukumari Bhattacharya
20,http://www.wikidata.org/entity/Q2744161,Romila Thapar
21,http://www.wikidata.org/entity/Q123248805,Ameena Kazi Ansari
22,http://www.wikidata.org/entity/Q25589302,Nabeesa Ummal
23,http://www.wikidata.org/entity/Q16012038,Gauri Ayyub
24,http://www.wikidata.org/entity/Q124637909,Mamata Sahu
25,http://www.wikidata.org/entity/Q37994923,Jasvinder K Gambhir
26,http://www.wikidata.org/entity/Q83688587,Nikisha Jariwala
27,http://www.wikidata.org/entity/Q63444004,Sonali Chakravarti Banerjee
28,http://www.wikidata.org/entity/Q65592857,Rekha Mohanty
29,http://www.wikidata.org/entity/Q31734368,Nalini Das
30,http://www.wikidata.org/entity/Q111803277,Moushumi Kandali
31,http://www.wikidata.org/entity/Q31787165,Charnjeet Kaur Brar
32,http://www.wikidata.org/entity/Q61773824,Prajna Prabartika Dash
33,http://www.wikidata.org/entity/Q97446130,Vageshwari Deswal
